date,day,admissions,discharges,occupied_beds,bed_capacity,occupancy_rate
2024-03-15,Friday,20,28,174,100,174.0
2024-03-16,Saturday,28,29,173,100,173.0
2024-03-17,Sunday,21,34,160,100,160.0
2024-03-18,Monday,34,20,174,100,174.0
2024-03-19,Tuesday,29,26,177,100,177.0
2024-03-20,Wednesday,25,31,171,100,171.0
2024-03-21,Thursday,27,40,158,100,158.0
2024-03-22,Friday,33,39,152,100,152.0
2024-03-23,Saturday,23,19,156,100,156.0
2024-03-24,Sunday,27,26,157,100,157.0
2024-03-25,Monday,30,25,162,100,162.0
2024-03-26,Tuesday,25,22,165,100,165.0
2024-03-27,Wednesday,31,31,165,100,165.0
2024-03-28,Thursday,19,26,158,100,158.0
2024-03-29,Friday,19,33,144,100,144.0
2024-03-30,Saturday,15,14,145,100,145.0
2024-03-31,Sunday,12,16,141,100,141.0
2024-04-01,Monday,37,19,159,100,159.0
2024-04-02,Tuesday,48,17,190,100,190.0
2024-04-03,Wednesday,41,23,208,100,208.0
2024-04-04,Thursday,30,45,193,100,193.0
2024-04-05,Friday,42,23,212,100,212.0
2024-04-06,Saturday,36,30,218,100,218.0
2024-04-07,Sunday,20,31,207,100,207.0
2024-04-08,Monday,29,30,206,100,206.0
2024-04-09,Tuesday,21,42,185,100,185.0
2024-04-10,Wednesday,37,33,189,100,189.0
2024-04-11,Thursday,25,22,192,100,192.0
2024-04-12,Friday,29,30,191,100,191.0
2024-04-13,Saturday,26,26,191,100,191.0
2024-04-14,Sunday,18,20,189,100,189.0
2024-04-15,Monday,47,19,217,100,217.0
2024-04-16,Tuesday,34,27,224,100,224.0
2024-04-17,Wednesday,44,34,234,100,234.0
2024-04-18,Thursday,26,20,240,100,240.0
2024-04-19,Friday,36,55,221,100,221.0
2024-04-20,Saturday,24,35,210,100,210.0
2024-04-21,Sunday,34,27,217,100,217.0
2024-04-22,Monday,32,29,220,100,220.0
2024-04-23,Tuesday,27,20,227,100,227.0
2024-04-24,Wednesday,27,33,221,100,221.0
2024-04-25,Thursday,31,31,221,100,221.0
2024-04-26,Friday,27,29,219,100,219.0
2024-04-27,Saturday,28,32,215,100,215.0
2024-04-28,Sunday,32,24,223,100,223.0
2024-04-29,Monday,41,26,238,100,238.0
2024-04-30,Tuesday,30,25,243,100,243.0
2024-05-01,Wednesday,28,39,232,100,232.0
2024-05-02,Thursday,24,33,223,100,223.0
2024-05-03,Friday,22,40,205,100,205.0
2024-05-04,Saturday,21,29,197,100,197.0
2024-05-05,Sunday,24,27,194,100,194.0
2024-05-06,Monday,33,20,207,100,207.0
2024-05-07,Tuesday,31,33,205,100,205.0
2024-05-08,Wednesday,24,34,195,100,195.0
2024-05-09,Thursday,25,27,193,100,193.0
2024-05-10,Friday,28,29,192,100,192.0
2024-05-11,Saturday,13,17,188,100,188.0
2024-05-12,Sunday,17,25,180,100,180.0
2024-05-13,Monday,31,22,189,100,189.0
2024-05-14,Tuesday,32,20,201,100,201.0
2024-05-15,Wednesday,37,23,215,100,215.0
2024-05-16,Thursday,33,21,227,100,227.0
2024-05-17,Friday,30,20,237,100,237.0
2024-05-18,Saturday,28,35,230,100,230.0
2024-05-19,Sunday,22,28,224,100,224.0
2024-05-20,Monday,23,29,218,100,218.0
2024-05-21,Tuesday,21,32,207,100,207.0
2024-05-22,Wednesday,28,22,213,100,213.0
2024-05-23,Thursday,21,34,200,100,200.0
2024-05-24,Friday,17,27,190,100,190.0
2024-05-25,Saturday,41,30,201,100,201.0
2024-05-26,Sunday,23,18,206,100,206.0
2024-05-27,Monday,26,32,200,100,200.0
2024-05-28,Tuesday,33,27,206,100,206.0
2024-05-29,Wednesday,23,26,203,100,203.0
2024-05-30,Thursday,41,29,215,100,215.0
2024-05-31,Friday,23,25,213,100,213.0
2024-06-01,Saturday,41,23,231,100,231.0
2024-06-02,Sunday,37,38,230,100,230.0
2024-06-03,Monday,29,23,236,100,236.0
2024-06-04,Tuesday,27,28,235,100,235.0
2024-06-05,Wednesday,17,40,212,100,212.0
2024-06-06,Thursday,35,36,211,100,211.0
2024-06-07,Friday,41,33,219,100,219.0
2024-06-08,Saturday,21,31,209,100,209.0
2024-06-09,Sunday,20,21,208,100,208.0
2024-06-10,Monday,50,28,230,100,230.0
2024-06-11,Tuesday,34,34,230,100,230.0
2024-06-12,Wednesday,24,31,223,100,223.0
2024-06-13,Thursday,33,32,224,100,224.0
2024-06-14,Friday,34,25,233,100,233.0
2024-06-15,Saturday,27,38,222,100,222.0
2024-06-16,Sunday,24,36,210,100,210.0
2024-06-17,Monday,29,32,207,100,207.0
2024-06-18,Tuesday,31,17,221,100,221.0
2024-06-19,Wednesday,29,24,226,100,226.0
2024-06-20,Thursday,35,23,238,100,238.0
2024-06-21,Friday,30,42,226,100,226.0
2024-06-22,Saturday,26,30,222,100,222.0
2024-06-23,Sunday,29,30,221,100,221.0
2024-06-24,Monday,22,17,226,100,226.0
2024-06-25,Tuesday,32,26,232,100,232.0
2024-06-26,Wednesday,39,29,242,100,242.0
2024-06-27,Thursday,24,31,235,100,235.0
2024-06-28,Friday,40,25,250,100,250.0
2024-06-29,Saturday,32,48,234,100,234.0
2024-06-30,Sunday,27,33,228,100,228.0
2024-07-01,Monday,39,26,241,100,241.0
2024-07-02,Tuesday,18,41,218,100,218.0
2024-07-03,Wednesday,35,26,227,100,227.0
2024-07-04,Thursday,24,34,217,100,217.0
2024-07-05,Friday,40,36,221,100,221.0
2024-07-06,Saturday,40,30,231,100,231.0
2024-07-07,Sunday,28,29,230,100,230.0
2024-07-08,Monday,28,31,227,100,227.0
2024-07-09,Tuesday,34,26,235,100,235.0
2024-07-10,Wednesday,13,32,216,100,216.0
2024-07-11,Thursday,32,30,218,100,218.0
2024-07-12,Friday,37,44,211,100,211.0
2024-07-13,Saturday,15,44,182,100,182.0
2024-07-14,Sunday,67,25,224,100,224.0
2024-07-15,Monday,35,22,237,100,237.0
2024-07-16,Tuesday,30,27,240,100,240.0
2024-07-17,Wednesday,25,54,211,100,211.0
2024-07-18,Thursday,37,40,208,100,208.0
2024-07-19,Friday,30,31,207,100,207.0
2024-07-20,Saturday,28,29,206,100,206.0
2024-07-21,Sunday,35,35,206,100,206.0
2024-07-22,Monday,38,21,223,100,223.0
2024-07-23,Tuesday,33,24,232,100,232.0
2024-07-24,Wednesday,34,34,232,100,232.0
2024-07-25,Thursday,35,40,227,100,227.0
2024-07-26,Friday,27,43,211,100,211.0
2024-07-27,Saturday,31,26,216,100,216.0
2024-07-28,Sunday,31,32,215,100,215.0
2024-07-29,Monday,37,30,222,100,222.0
2024-07-30,Tuesday,30,31,221,100,221.0
2024-07-31,Wednesday,35,24,232,100,232.0
2024-08-01,Thursday,29,41,220,100,220.0
2024-08-02,Friday,38,43,215,100,215.0
2024-08-03,Saturday,23,29,209,100,209.0
2024-08-04,Sunday,32,29,212,100,212.0
2024-08-05,Monday,47,32,227,100,227.0
2024-08-06,Tuesday,36,24,239,100,239.0
2024-08-07,Wednesday,42,36,245,100,245.0
2024-08-08,Thursday,36,37,244,100,244.0
2024-08-09,Friday,34,36,242,100,242.0
2024-08-10,Saturday,34,45,231,100,231.0
2024-08-11,Sunday,40,29,242,100,242.0
2024-08-12,Monday,41,28,255,100,255.0
2024-08-13,Tuesday,36,50,241,100,241.0
2024-08-14,Wednesday,36,39,238,100,238.0
2024-08-15,Thursday,44,38,244,100,244.0
2024-08-16,Friday,48,51,241,100,241.0
2024-08-17,Saturday,68,35,274,100,274.0
2024-08-18,Sunday,36,94,216,100,216.0
